Unnamed: 0,Focal Plane Image,Time Stream Image,Number of Detectors,Y and X Extent Ratio,Mean abs(Correlation),Mean abs(Time Lag),Y Hist Max and Adjacent/Number of Detectors,Within 0.1 of Y Hist Max/Number of Detectors,TOD,Start Index,Stop Index,Start Ctime,Stop Ctime,Median Ctime,ra,dec,ra with TOD Offsets,dec with TOD Offsets,Type,Glitch
18,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_136647-137052.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_136647-137052.png,55.0,1.2566736498218611,0.4355258883988288,0.035016835016835,0.4909090909090909,0.5818181818181818,1559981711.1559990795.ar5:f090,136647.0,137052.0,1559982055.326802,1559982056.348933,1559982055.837868,-4.088842555771906,-2.978316043526999,-0.0754747704478684,-0.0604807165880726,Original,Unlabeled
19,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_142457-142861.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_142457-142861.png,6.0,1.0110367056111431,0.5696213726432975,0.0,0.3333333333333333,1.0,1559981711.1559990795.ar5:f090,142457.0,142861.0,1559982070.026264,1559982071.045866,1559982070.536065,-6.221554977988994,0.122385021723346,-0.1125693824745716,-0.0058872522994473,Original,Unlabeled
20,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_144988-145394.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_144988-145394.png,20.0,0.9809163677428232,0.2532658030815357,10.905263157894735,0.5,0.55,1559981711.1559990795.ar5:f090,144988.0,145394.0,1559982076.429763,1559982077.454425,1559982076.9420938,-4.351266269625588,-3.184829782572529,-0.0802439904835208,-0.0645038688378288,Original,Unlabeled
21,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_148969-149373.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_148969-149373.png,4.0,1.1725544402682968,0.7504954558221113,0.0,0.5,1.0,1559981711.1559990795.ar5:f090,148969.0,149373.0,1559982086.501807,1559982087.521408,1559982087.011607,-7.172234232548694,1.7977263779472163,-0.128899257665985,0.0232545687110176,Original,Unlabeled
22,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_151660-152064.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_151660-152064.png,18.0,0.6562355046085534,0.3035279338184536,3.69281045751634,0.4444444444444444,0.7222222222222222,1559981711.1559990795.ar5:f090,151660.0,152064.0,1559982093.310112,1559982094.329714,1559982093.819913,-3.714007964985103,-4.277515481418463,-0.0700910681519361,-0.0809531900917915,Original,Unlabeled
23,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_164256-164980.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_164256-164980.png,16.0,1.1952064470277508,0.2879356093297898,79.21666666666667,0.5,0.4375,1559981711.1559990795.ar5:f090,164256.0,164980.0,1559982125.17834,1559982127.007551,1559982126.092946,-5.0606428226173525,-1.2083515851705589,-0.0950223492870113,-0.0278269017793488,Original,Unlabeled
24,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_184716-185120.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_184716-185120.png,7.0,2.6556159095080667,0.4985820889903407,50.285714285714285,0.8571428571428571,0.5714285714285714,1559981711.1559990795.ar5:f090,184716.0,185120.0,1559982176.942717,1559982177.962318,1559982177.452518,-6.299073694863701,1.272503524686328,-0.1145463395722059,0.0134535548892477,Original,Unlabeled
25,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_186518-187115.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_186518-187115.png,44.0,1.123775111091542,0.718454785068592,0.0,0.4545454545454545,0.5681818181818182,1559981711.1559990795.ar5:f090,186518.0,187115.0,1559982181.501827,1559982183.009724,1559982182.255776,-3.5903406621729164,-2.9534455623327127,-0.0653565767968378,-0.0620701731442009,Original,Unlabeled
26,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_191458-191865.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_191458-191865.png,32.0,0.7149984246787594,0.4462702178438206,0.0403225806451612,0.3125,0.75,1559981711.1559990795.ar5:f090,191458.0,191865.0,1559982194.000167,1559982195.027358,1559982194.513763,-7.437448652631459,2.13422154151556,-0.1333530548590354,0.0288989739682127,Original,Unlabeled
27,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_193248-194156.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_193248-194156.png,138.0,1.3362544857318284,0.1700801747215974,115.7956204379562,0.463768115942029,0.3478260869565217,1559981711.1559990795.ar5:f090,193248.0,194156.0,1559982198.528915,1559982200.823651,1559982199.676283,-4.369896402090094,-2.239856410263131,-0.0745953157601489,-0.0523944695568611,Original,Unlabeled
28,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_213200-213609.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_213200-213609.png,48.0,0.6657085931323331,0.3395335218768258,0.9237588652482268,0.4375,0.5833333333333334,1559981711.1559990795.ar5:f090,213200.0,213609.0,1559982249.008036,1559982250.040288,1559982249.524162,-6.501190902703439,1.2351889435036305,-0.1169028232562297,0.0135801956067255,Original,Unlabeled
29,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_217376-217777.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_217376-217777.png,5.0,1.2583353232404786,0.4577152241325748,15.6,0.4,0.4,1559981711.1559990795.ar5:f090,217376.0,217777.0,1559982259.573437,1559982260.585449,1559982260.079443,-5.0959843761226455,-0.7341544432280284,-0.0923298407847393,-0.0220487663370436,Original,Unlabeled
